"id","level_score","name_mn","name_en","category","color","keywords","description","sort_order","created_at"
"1","20","Гэм буруу","Shame","force","#7A0000","[""ичих"",""доромжлогдох"",""өөрийгөө буруутгах""]",,"1","2025-12-18 20:26:13.725202"
"2","30","Гэмшил","Guilt","force","#8B0000","[""гэмших"",""хариуцлага"",""алдаа""]",,"2","2025-12-18 20:26:13.725202"
"3","50","Хайхрамжгүй","Apathy","force","#555555","[""хайхрамжгүй"",""сонирхолгүй"",""найдваргүй""]",,"3","2025-12-18 20:26:13.725202"
"4","75","Гуниг","Grief","force","#4A5E8A","[""гунигтай"",""уйтгар"",""алдагдал""]",,"4","2025-12-18 20:26:13.725202"
"5","100","Айдас","Fear","force","#CC3300","[""айдас"",""санаа зовох"",""эмээх""]",,"5","2025-12-18 20:26:13.725202"
"6","125","Хүсэл тэмүүлэл","Desire","force","#FF7F00","[""хүсэл"",""эрмэлзэл"",""хүлээлт""]",,"6","2025-12-18 20:26:13.725202"
"7","150","Уур хилэн","Anger","force","#CC0000","[""уур"",""бухимдал"",""дургүйцэл""]",,"7","2025-12-18 20:26:13.725202"
"8","175","Бардам зан","Pride","force","#D4AF37","[""бардам"",""бахархал"",""дээшлэх""]",,"8","2025-12-18 20:26:13.725202"
"9","200","Эр зориг","Courage","transition","#2E8B57","[""зориг"",""шийдвэр"",""эрсдэл""]",,"9","2025-12-18 20:26:13.725202"
"10","250","Тэнцвэртэй байдал","Neutrality","power","#87CEEB","[""тайван"",""тэнцвэртэй"",""реакцгүй""]",,"10","2025-12-18 20:26:13.725202"
"11","310","Бэлэн байдал","Willingness","power","#9FE2BF","[""бэлэн"",""идэвхтэй"",""зорилготой""]",,"11","2025-12-18 20:26:13.725202"
"12","350","Хүлээн зөвшөөрөх","Acceptance","power","#90EE90","[""ойлгох"",""зөвшөөрөх"",""уучлах""]",,"12","2025-12-18 20:26:13.725202"
"13","400","Оюун ухаан","Reason","power","#4169E1","[""логик"",""уншиж ойлгох"",""анализ""]",,"13","2025-12-18 20:26:13.725202"
"14","500","Хайр","Love","power","#FF69B4","[""хайр"",""энэрэл"",""халамж""]",,"14","2025-12-18 20:26:13.725202"
"15","540","Баяр баясгалан","Joy","power","#FFD700","[""баяр"",""аз жаргал"",""хөнгөн""]",,"15","2025-12-18 20:26:13.725202"
"16","600","Амар амгалан","Peace","power","#E6E6FA","[""амар амгалан"",""тайвшрал"",""гэгээрэл""]",,"16","2025-12-18 20:26:13.725202"
"17","700","Гэгээрэл","Enlightenment","power","#FFFFFF","[""гэгээрэл"",""нэгэн цул"",""цэвэр ухамсар""]",,"17","2025-12-18 20:26:13.725202"
